--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
I/ActivityManager(  584): START {act=android.intent.action.VIEW cat=[android.intent.category.DEFAULT] dat=file typ=application/vnd.android.package-archive flg=0x13810000 pkg=com.android.packageinstaller cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) u=0} from pid 12147
I/ActivityManager(  584): Recipient 12063
D/PowerManagerService(  584): acquireWakeLock(4341b8d0): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1, pid=584, uid=1000, mUserState=0x3
I/ActivityManager(  584): Process org.coursera.android (pid 12063) has died.
I/ActivityManager(  584): Start proc com.android.packageinstaller for activity com.android.packageinstaller/.PackageInstallerActivity: pid=12713 uid=10135 gids={1028}
V/InputMethodManagerService(  584): unbindCurrentInputLocked: client = android.os.BinderProxy@42c2fa90
I/InputMethodManagerService(  584): Disable input method client.
V/InputMethodManagerService(  584): switching to client: client = android.os.BinderProxy@431baf88
I/InputMethodManagerService(  584): Enable input method client.
W/CpuWake (  584): >>nativeReleaseCpuPerfWakeLock()
W/CpuWake (  584): <<nativeReleaseCpuPerfWakeLock()
D/PowerManagerService(  584): releaseWakeLock(4341b8d0): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1
W/PackageParser(12713): No actions in intent filter at /storage/sdcard0/Download/GiftMe-release.apk Binary XML file line #33
I/ActivityManager(  584): Recipient 11845
I/ActivityManager(  584): Process com.google.android.music:main (pid 11845) has died.
W/CpuWake (  584): >>nativeReleaseCpuPerfWakeLock()
W/CpuWake (  584): <<nativeReleaseCpuPerfWakeLock()
W/InputMethodManagerService(  584): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@430a5dc0 attribute=null
W/CpuWake (  584): >>nativeAcquireCpuPerfWakeLock()
W/CpuWake (  584): <<nativeAcquireCpuPerfWakeLock()
I/ActivityManager(  584): START {dat=file cmp=com.android.packageinstaller/.InstallAppProgress (has extras) u=0} from pid 12713
D/PowerManagerService(  584): acquireWakeLock(430a5f58): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1, pid=584, uid=1000, mUserState=0x3
I/ActivityManager(  584): Start proc com.android.defcontainer for service com.android.defcontainer/.DefaultContainerService: pid=12735 uid=10021 gids={1015, 2001, 5005, 1028}
D/PowerManagerService(  584): releaseWakeLock(430a5f58): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1
W/ActivityManager(  584): No content provider found for permission revoke: file:///storage/sdcard0/Download/GiftMe-release.apk
W/ActivityManager(  584): No content provider found for permission revoke: file:///storage/sdcard0/Download/GiftMe-release.apk
W/PackageParser(  584): No actions in intent filter at /data/app/vmdl-506191114.tmp Binary XML file line #33
I/ActivityManager(  584): Recipient 12423
I/ActivityManager(  584): Process com.htc.task (pid 12423) has died.
I/ActivityManager(  584): Force stopping package co.giftmeapp.giftme uid=10138
I/ActivityManager(  584):   Force finishing activity ActivityRecord{42cb9890 co.giftmeapp.giftme/.GiftMe}
I/ActivityManager(  584): Recipient 12235
I/ActivityManager(  584): Process com.htc.android.mail:sync (pid 12235) has died.
W/CpuWake (  584): >>nativeReleaseCpuPerfWakeLock()
W/CpuWake (  584): <<nativeReleaseCpuPerfWakeLock()
I/PackageManager(  584): Package co.giftmeapp.giftme codePath changed from /data/app/co.giftmeapp.giftme-1.apk to /data/app/co.giftmeapp.giftme-2.apk; Retaining data and using new
W/PackageManager(  584): Code path for pkg : co.giftmeapp.giftme changing from /data/app/co.giftmeapp.giftme-1.apk to /data/app/co.giftmeapp.giftme-2.apk
I/ActivityManager(  584): Force stopping package co.giftmeapp.giftme uid=10138
W/PackageManager(  584): Resource path for pkg : co.giftmeapp.giftme changing from /data/app/co.giftmeapp.giftme-1.apk to /data/app/co.giftmeapp.giftme-2.apk
I/ActivityManager(  584): Force stopping package co.giftmeapp.giftme uid=10138
I/ActivityManager(  584): Start proc com.android.keychain for broadcast com.android.keychain/.KeyChainBroadcastReceiver: pid=12750 uid=1000 gids={1015, 3002, 3001, 3003, 1028, 5006, 3007, 3006, 2001, 1007}
I/ActivityManager(  584): Start proc com.htc.providers.settings:remote for content provider com.htc.providers.settings/.HtcPowerManagerProvider: pid=12763 uid=10202 gids={1028}
I/ActivityManager(  584): Start proc com.htc.opensense.social for broadcast com.htc.opensense/.pluginmanager.RegisterReceiver: pid=12775 uid=10014 gids={2001, 3003, 1015, 1028, 1006, 5005, 3002, 3001, 5003}
D/PowerManagerService(  584): TPE algorithm. schedule timeout.
D/PowerManagerService(  584): ALG=2, lsvalue=160(3th)->90(2th), last_level=3, lValue=99->99, bValue=255, kValue=0, mPowerState=0x3, mSkippedScreenOn=false, mInitialAnimation=false, immediate=false
--------- beginning of /dev/log/main
W/ResourceType(  989): Failure getting entry for 0x7f020341 (t=1 e=833) in package 0 (error -2147483647)
W/ResourceType(  989): getEntry failing because entryIndex 835 is beyond type entryCount 136
W/ResourceType(  989): Failure getting entry for 0x7f020343 (t=1 e=835) in package 0 (error -2147483647)
W/ResourceType(  989): getEntry failing because entryIndex 835 is beyond type entryCount 136
W/ResourceType(  989): Failure getting entry for 0x7f020343 (t=1 e=835) in package 0 (error -2147483647)
D/AccountTypeManager(  989): Registering external account type=com.htc.linkedin, packageName=com.htc.linkedin
D/Rosie   ( 1163): Alarm.cancelAlarm
D/Rosie   ( 1163): Alarm.setAlarm: 500
I/ActivityManager(  584): Recipient 12439
I/ActivityManager(  584): Process ru.mail.mailapp (pid 12439) has died.
E/ExternalAccountType(  989): Unsupported attribute readOnly
D/AccountTypeManager(  989): Registering extension package account type=com.google, dataSet=plus, packageName=com.google.android.apps.plus
I/AccountTypeManager(  989): Loaded meta-data for 14 account types, 12 accounts in 267ms(wall) 54ms(cpu)
D/WidgetScanner( 1163): onReceive: Intent { act=android.intent.action.PACKAGE_REMOVED dat=package flg=0x8000010 cmp=com.htc.launcher/.widget.WidgetScannerTrigger (has extras) }
D/WidgetScanner( 1163): onReceiveInternal: Intent { act=android.intent.action.PACKAGE_REMOVED dat=package flg=0x8000010 cmp=com.htc.launcher/.widget.WidgetScannerService (has extras) }
D/HtcWidgetScanner( 1163): onPackageRemoved: co.giftmeapp.giftme
I/ActivityManager(  584): Start proc com.android.settings for broadcast com.android.settings/.framework.content.plugin.HtcPluginReceiver: pid=12789 uid=1000 gids={1015, 3002, 3001, 3003, 1028, 5006, 3007, 3006, 2001, 1007}
E/Trace   (12789): error opening trace file: No such file or directory (2)
D/HtcWidgetProvider( 1163): update 0
D/FxWidgetScanner( 1163): onPackageRemoved: co.giftmeapp.giftme
D/FxWidgetScanner( 1163): removeFxWidgetList
D/FxWidgetScanner( 1163): delete 0
D/WidgetScanner( 1163): upadted? false
V/LocationManagerService(  584): getProviders
D/HybridProvider(  584): getName
V/LocationManagerService(  584): getLastKnownLocation: hybrid
V/LocationManagerService(  584): getLastKnownLocation: passive
D/CacheSense(12375): Service idle, stopping
I/ActivityManager(  584): Recipient 11987
I/ActivityManager(  584): Process com.vkontakte.android (pid 11987) has died.
I/ActivityManager(  584): Recipient 11163
I/WindowState(  584): WIN DEATH: Window{42c78f68 com.htc.android.worldclock/com.htc.android.worldclock.WorldClockTabControl paused=false}
I/ActivityManager(  584): Process com.htc.android.worldclock (pid 11163) has died.
I/ActivityThread(12789): Pub wispr: com.android.settings.wifi.WISPrProvider
I/ActivityThread(12789): Pub com.android.settings.provider.cdmasettings: com.android.settings.HtcCdmaSettingsProvider
D/HtcCdmaSettingsProvider(12789): onCreate !
D/CombinedWidgetProvider( 1163): +addAppWidget
I/ActivityManager(  584): Start proc com.facebook.katana:dash for broadcast com.facebook.katana/com.facebook.dash.receivers.DashPackageUninstallReceiver: pid=12805 uid=10028 gids={1006, 1015, 1028, 3003}
D/PackageManager(  584): generateServicesMap(android.accounts.AccountAuthenticator): 20 services unchanged
E/Trace   (12805): error opening trace file: No such file or directory (2)
W/PackageManager(  584): Unable to load service info ResolveInfo{42c31b60 com.htc.socialnetwork.facebook.remote.FacebookSyncService p=0 o=0 m=0x108000}
W/PackageManager(  584): org.xmlpull.v1.XmlPullParserException: No android.content.SyncAdapter meta-data
W/PackageManager(  584): 	at android.content.pm.RegisteredServicesCache.parseServiceInfo(RegisteredServicesCache.java:377)
W/PackageManager(  584): 	at android.content.pm.RegisteredServicesCache.generateServicesMap(RegisteredServicesCache.java:261)
W/PackageManager(  584): 	at android.content.pm.RegisteredServicesCache$1.onReceive(RegisteredServicesCache.java:110)
W/PackageManager(  584): 	at android.app.LoadedApk$ReceiverDispatcher$Args.run(LoadedApk.java:832)
W/PackageManager(  584): 	at android.os.Handler.handleCallback(Handler.java:615)
W/PackageManager(  584): 	at android.os.Handler.dispatchMessage(Handler.java:92)
W/PackageManager(  584): 	at android.os.Looper.loop(Looper.java:155)
W/PackageManager(  584): 	at com.android.server.ServerThread.run(SystemServer.java:1031)
D/PhoneApp(  984): EVENT_QUERY_MO_PACKAGES
D/PhoneApp(  984): -- N1 =0
D/PhoneApp(  984): -- N2 =0
D/PhoneApp(  984): -- N3 =0
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Podcast Addict/APP_WIDGET/[I@424f5928 x [I@424f5948/-1/ComponentInfo{com.bambuna.podcastaddict/com.bambuna.podcastaddict.widget.HorizontalWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Podcast Addict/APP_WIDGET/[I@4232b858 x [I@4232b878/-1/ComponentInfo{com.bambuna.podcastaddict/com.bambuna.podcastaddict.widget.LargeWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Bookmarks/APP_WIDGET/[I@424e72d0 x [I@424e72f0/-1/ComponentInfo{com.android.browser/com.android.browser.widget.BookmarkThumbnailWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Calendar/APP_WIDGET/[I@428f7b20 x [I@4248ad58/-1/ComponentInfo{com.htc.calendar/com.htc.calendar.app.widget.CalendarAppWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Deezer/APP_WIDGET/[I@423c9878 x [I@423c9898/-1/ComponentInfo{deezer.android.app/deezer.android.widget.DeezerWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Power control/APP_WIDGET/[I@42911f20 x [I@42911f40/-1/ComponentInfo{com.android.settings/com.android.settings.widget.SettingsAppWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(TuneIn Radio/APP_WIDGET/[I@424751e0 x [I@42475200/-1/ComponentInfo{tunein.player/tunein.library.widget.TuneInWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Twitter (large)/APP_WIDGET/[I@428a7d98 x [I@428a7db8/-1/ComponentInfo{com.twitter.android/com.twitter.android.client.WidgetLargeProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Twitter (small)/APP_WIDGET/[I@425b2278 x [I@425b2298/-1/ComponentInfo{com.twitter.android/com.twitter.android.client.WidgetSmallProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Facebook Status/APP_WIDGET/[I@422f64a8 x [I@422f64c8/-1/ComponentInfo{com.facebook.katana/com.facebook.katana.FacebookWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Facebook Buttons/APP_WIDGET/[I@427b0b88 x [I@427b0ba8/-1/ComponentInfo{com.facebook.katana/com.facebook.katana.FacebookControlWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Play Store/APP_WIDGET/[I@428d8090 x [I@428d80b0/-1/ComponentInfo{com.android.vending/com.android.vending.MarketWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Play - My Library/APP_WIDGET/[I@42387018 x [I@42387038/-1/ComponentInfo{com.android.vending/com.google.android.finsky.widget.consumption.NowPlayingWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Play Recommendations/APP_WIDGET/[I@4294aae8 x [I@4294ab08/-1/ComponentInfo{com.android.vending/com.google.android.finsky.widget.recommendation.RecommendedWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Google+ posts/APP_WIDGET/[I@4241b350 x [I@4241b370/-1/ComponentInfo{com.google.android.apps.plus/com.google.android.apps.plus.widget.EsWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Google+ User Locations/APP_WIDGET/[I@424f0ec0 x [I@424f0ee0/-1/ComponentInfo{com.google.android.apps.plus/com.google.android.apps.plus.widget.locations.LocationsWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Gmail/APP_WIDGET/[I@4263da00 x [I@42310d50/-1/ComponentInfo{com.google.android.gm/com.google.android.gm.widget.GmailWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Lookout/APP_WIDGET/[I@423552e8 x [I@428bf7d8/-1/ComponentInfo{com.lookout/com.lookout.ui.DashboardWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Hangouts/APP_WIDGET/[I@4290ffe8 x [I@423734b8/-1/ComponentInfo{com.google.android.talk/com.google.android.apps.hangouts.widget.BabelWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Google Play Books/APP_WIDGET/[I@42430ab0 x [I@42430ad0/-1/ComponentInfo{com.google.android.apps.books/com.google.android.apps.books.appwidget.BooksAppWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(News & Weather/APP_WIDGET/[I@4286dc68 x [I@4286dc88/-1/ComponentInfo{com.google.android.apps.genie.geniewidget/com.google.android.apps.genie.geniewidget.miniwidget.MiniWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(News & Weather/APP_WIDGET/[I@42926658 x [I@42865798/-1/ComponentInfo{com.google.android.apps.genie.geniewidget/com.google.android.apps.genie.geniewidget.miniwidget.MiniDarkWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(News & Weather/APP_WIDGET/[I@42873460 x [I@424e6130/-1/ComponentInfo{com.google.android.apps.genie.geniewidget/com.google.android.apps.genie.geniewidget.appwidget.NewsWeatherAppWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(News & Weather/APP_WIDGET/[I@423127c0 x [I@423127e0/-1/ComponentInfo{com.google.android.apps.genie.geniewidget/com.google.android.apps.genie.geniewidget.appwidget.NewsWeatherAppDarkWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Google Play Music/APP_WIDGET/[I@42872210 x [I@42872230/-1/ComponentInfo{com.google.android.music/com.android.music.MediaAppWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Google Play Music/APP_WIDGET/[I@424d26a0 x [I@424d26c0/-1/ComponentInfo{com.google.android.music/com.google.android.music.homewidgets.IFLWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Google App/APP_WIDGET/[I@427b0f50 x [I@427b0f70/-1/ComponentInfo{com.google.android.googlequicksearchbox/com.google.android.googlequicksearchbox.SearchWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Google Now/APP_WIDGET/[I@428f7880 x [I@428f78a0/-1/ComponentInfo{com.google.android.googlequicksearchbox/com.google.android.apps.sidekick.widget.PredictiveCardsWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Mail/APP_WIDGET/[I@42879968 x [I@424d7398/-1/ComponentInfo{ru.mail.mailapp/ru.mail.ctrl.MailAppWidget})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(VK – music/APP_WIDGET/[I@42800960 x [I@42800980/-1/ComponentInfo{com.vkontakte.android/com.vkontakte.android.PlayerWidget})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(VK – music (big)/APP_WIDGET/[I@428bc4e0 x [I@428bc500/-1/ComponentInfo{com.vkontakte.android/com.vkontakte.android.PlayerBigWidget})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(WhatsApp/APP_WIDGET/[I@423b6d28 x [I@423b73e8/-1/ComponentInfo{com.whatsapp/com.whatsapp.appwidget.WidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Pinterest/APP_WIDGET/[I@428bd390 x [I@428bd3b0/-1/ComponentInfo{com.pinterest/com.pinterest.appwidget.PWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Bookmarks/APP_WIDGET/[I@423d7320 x [I@423d7340/-1/ComponentInfo{com.android.chrome/com.google.android.apps.chrome.appwidget.bookmarks.BookmarkThumbnailWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(VLC mini player/APP_WIDGET/[I@42833ee8 x [I@42603b80/-1/ComponentInfo{org.videolan.vlc.betav7neon/org.videolan.vlc.betav7neon.widget.VLCAppWidgetProvider})
D/CombinedWidgetProvider( 1163): addAppWidget: WidgetSummary(Bitcoin Wallet Balance/APP_WIDGET/[I@4294dcb0 x [I@4294dcd0/-1/ComponentInfo{de.schildbach.wallet/de.schildbach.wallet.WalletBalanceWidgetProvider})
D/CombinedWidgetProvider( 1163): -addAppWidget
D/CombinedWidgetProvider( 1163): +addHtcWidgets, cat: -1
D/CombinedWidgetProvider( 1163):  uri: content://com.htc.launcher.widget.htcwidget/htcwidgets?widget_only=true
D/HtcWidgetProvider( 1163): row 0
D/CombinedWidgetProvider( 1163): -addHtcWidgets
D/CombinedWidgetProvider( 1163): +addFxWidgets , provider: null
D/FxWidgetProviderInfoCollector( 1163): getAllStyles + [Ljava.lang.String;@42310050 @ 
D/FxWidgetProvider( 1163): row 61
W/CpuWake (  584): >>nativeAcquireCpuPerfWakeLock()
W/CpuWake (  584): <<nativeAcquireCpuPerfWakeLock()
I/ActivityManager(  584): START {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10000000 pkg=co.giftmeapp.giftme cmp=co.giftmeapp.giftme/.GiftMe u=0} from pid 12713
I/Intent  (  584): @test_code: getHtcIntentFlag: 0 obj: 1124198576
I/wpa_supplicant(  809): wlan0: State: COMPLETED -> GROUP_HANDSHAKE
I/wpa_supplicant(  809): wpa_supplicant_set_state -
D/StateMachine(  584): handleMessage: E msg.what=147462
D/PowerManagerService(  584): acquireWakeLock(4333c318): PARTIAL_WAKE_LOCK , tag=ActivityManager-Launch, flags=0x1, pid=584, uid=1000, mUserState=0x3
I/wpa_supplicant(  809): wlan0: WPA: Group rekeying completed with 70:54:d2:ae:26:93 [GTK=TKIP]
I/wpa_supplicant(  809): wlan0: State: GROUP_HANDSHAKE -> COMPLETED
I/wpa_supplicant(  809): wpa_supplicant_set_state -
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=147462 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} obj=android.net.wifi.StateChangeResult@4317c750 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=147462 when=-7ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} obj=android.net.wifi.StateChangeResult@4317c750 }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=147462 when=-7ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} obj=android.net.wifi.StateChangeResult@4317c750 }
